Issuer,Card Name,Customer Segment,Product Tier,Card Type,Annual Fee,Purchase APR,Foreign TX Fee,Balance Transfer Offer,Balance Transfer Fee,Sign-up Bonus / Promo,Rewards Program,Rewards Earn Rate,Travel Insurance,Lounge Access,Other Perks,Logo Link,Interest-free days,Minimum spend for bonus,Points caps,Contactless & digital wallet support,"Fees (late, overlimit, additional cards)",Direct PDS links
Woolworths,Woolworths Business Elite Rewards,Business,Elite,Rewards,$252,23.65%,0%,—,Standard,100k Pts,Woolworths Rewards,1.13 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/woolworths.png,Up to 55 days,$2290,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.woolworths.com.au/business/pds
Weel,Weel Business Platinum Rewards,Business,Platinum,Rewards,$74,18.33%,3%,—,Standard,60k Pts,Weel Rewards,1.15 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/weel.png,Up to 55 days,$5835,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.weel.com.au/business/pds
Volopay,Volopay Platinum Rewards,Personal,Platinum,Rewards,$76,19.52%,3%,—,Standard,20k Pts,Volopay Rewards,0.96 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/volopay.png,Up to 55 days,$1325,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/personal/pds
Virgin Money,Virgin Money Black Rewards,Personal,Black,Rewards,$362,20.21%,0%,—,Standard,80k Pts,Virgin Money Rewards,1.94 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/virgin money.png,Up to 55 days,$2710,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.virginmoney.com.au/personal/pds
Teachers Mutual,Teachers Mutual Signature Rewards,Sole Trader,Signature,Rewards,$659,21.65%,3%,—,Standard,150k Pts,Teachers Mutual Rewards,1.51 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$5920,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/personal/pds
Suncorp,Suncorp Elite Rewards,Sole Trader,Elite,Rewards,$579,23.21%,0%,—,Standard,100k Pts,Suncorp Rewards,0.90 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/suncorp.png,Up to 55 days,$2339,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.suncorp.com.au/personal/pds
St George,St George Business Signature Rewards,Business,Signature,Rewards,$325,20.35%,3%,—,Standard,150k Pts,St George Rewards,1.80 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/st george.png,Up to 55 days,$1891,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.stgeorge.com.au/business/pds
Airwallex,Airwallex Business Black Frequent Flyer,Corporate,Black,Frequent Flyer,$392,21.16%,0%,—,Standard,80k Pts,Qantas/Velocity,1.06 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/airwallex.png,Up to 55 days,$3445,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
Amex,Amex Business Elite Frequent Flyer,Business,Elite,Frequent Flyer,$623,20.09%,0%,—,Standard,80k Pts,Qantas/Velocity,1.95 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/amex.png,Up to 55 days,$3544,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/business/pds
CBA,CBA Business Elite Frequent Flyer,Corporate,Elite,Frequent Flyer,$546,20.98%,0%,—,Standard,80k Pts,Qantas/Velocity,0.56 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/cba.png,Up to 55 days,$3325,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/business/pds
Kogan,Kogan Elite Frequent Flyer,Sole Trader,Elite,Frequent Flyer,$639,22.29%,0%,—,Standard,80k Pts,Qantas/Velocity,2.14 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/kogan.png,Up to 55 days,$5133,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.kogan.com.au/personal/pds
P&N Bank,P&N Bank Elite Frequent Flyer,Sole Trader,Elite,Frequent Flyer,$563,20.82%,0%,—,Standard,80k Pts,Qantas/Velocity,1.57 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/p&n bank.png,Up to 55 days,$1594,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.p&nbank.com.au/personal/pds
Suncorp,Suncorp Business Signature Frequent Flyer,Corporate,Signature,Frequent Flyer,$578,22.34%,3%,—,Standard,80k Pts,Qantas/Velocity,1.25 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/suncorp.png,Up to 55 days,$3402,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.suncorp.com.au/business/pds
DiviPay,DiviPay Signature Frequent Flyer,Sole Trader,Signature,Frequent Flyer,$622,23.96%,3%,—,Standard,80k Pts,Qantas/Velocity,0.83 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/divipay.png,Up to 55 days,$1769,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
Great Southern Bank,Great Southern Bank Business Entry Frequent Flyer,Corporate,Entry,Frequent Flyer,$102,17.10%,3%,—,Standard,60k Pts,Qantas/Velocity,1.92 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/great southern bank.png,Up to 55 days,$5043,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/business/pds
NAB,NAB Entry Frequent Flyer,Personal,Entry,Frequent Flyer,$68,15.69%,3%,—,Standard,60k Pts,Qantas/Velocity,2.07 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/nab.png,Up to 55 days,$2949,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.nab.com.au/personal/pds
Police Bank,Police Bank Business Platinum Frequent Flyer,Corporate,Platinum,Frequent Flyer,$76,15.21%,3%,—,Standard,60k Pts,Qantas/Velocity,0.97 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/police bank.png,Up to 55 days,$4231,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.policebank.com.au/business/pds
HSBC,HSBC Platinum Frequent Flyer,Personal,Platinum,Frequent Flyer,$69,18.42%,3%,—,Standard,60k Pts,Qantas/Velocity,1.34 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$3313,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/personal/pds
Heritage Bank,Heritage Bank Platinum Frequent Flyer,Personal,Platinum,Frequent Flyer,$97,16.01%,3%,—,Standard,60k Pts,Qantas/Velocity,1.93 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/heritage bank.png,Up to 55 days,$4150,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.heritagebank.com.au/personal/pds
NAB,NAB Business Entry Frequent Flyer,Business,Entry,Frequent Flyer,$140,17.75%,3%,—,Standard,40k Pts,Qantas/Velocity,1.59 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/nab.png,Up to 55 days,$2057,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.nab.com.au/business/pds
Bendigo Bank,Bendigo Bank Entry Frequent Flyer,Sole Trader,Entry,Frequent Flyer,$82,14.11%,3%,—,Standard,40k Pts,Qantas/Velocity,1.90 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/bendigo bank.png,Up to 55 days,$2418,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bendigobank.com.au/personal/pds
CBA,CBA Business Platinum Frequent Flyer,Business,Platinum,Frequent Flyer,$117,17.39%,3%,—,Standard,40k Pts,Qantas/Velocity,1.09 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/cba.png,Up to 55 days,$5421,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/business/pds
P&N Bank,P&N Bank Business Platinum Frequent Flyer,Corporate,Platinum,Frequent Flyer,$144,19.42%,3%,—,Standard,40k Pts,Qantas/Velocity,2.11 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/p&n bank.png,Up to 55 days,$3826,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.p&nbank.com.au/business/pds
Bank of Queensland,Bank of Queensland Platinum Frequent Flyer,Personal,Platinum,Frequent Flyer,$84,15.07%,3%,—,Standard,40k Pts,Qantas/Velocity,1.01 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/bank of queensland.png,Up to 55 days,$3966,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofqueensland.com.au/personal/pds
Volopay,Volopay Entry Frequent Flyer,Personal,Entry,Frequent Flyer,$84,19.96%,3%,—,Standard,20k Pts,Qantas/Velocity,1.13 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/volopay.png,Up to 55 days,$4132,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/personal/pds
HSBC,HSBC Business Platinum Frequent Flyer,Corporate,Platinum,Frequent Flyer,$118,15.55%,3%,—,Standard,20k Pts,Qantas/Velocity,1.43 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$5736,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
G&C Mutual,G&C Mutual Platinum Frequent Flyer,Personal,Platinum,Frequent Flyer,$89,18.34%,3%,—,Standard,20k Pts,Qantas/Velocity,1.20 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/g&c mutual.png,Up to 55 days,$5581,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.g&cmutual.com.au/personal/pds
Judo Bank,Judo Bank Platinum Frequent Flyer,Sole Trader,Platinum,Frequent Flyer,$106,15.70%,3%,—,Standard,20k Pts,Qantas/Velocity,1.01 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/judo bank.png,Up to 55 days,$1765,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.judobank.com.au/personal/pds
IMB Bank,IMB Bank Platinum Frequent Flyer,Sole Trader,Platinum,Frequent Flyer,$94,16.68%,3%,—,Standard,20k Pts,Qantas/Velocity,1.11 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/imb bank.png,Up to 55 days,$4302,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/personal/pds
CBA,CBA Platinum Frequent Flyer,Sole Trader,Platinum,Frequent Flyer,$80,14.28%,3%,—,Standard,20k Pts,Qantas/Velocity,0.60 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/cba.png,Up to 55 days,$2422,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/personal/pds
IMB Bank,IMB Bank Business Black Frequent Flyer,Business,Black,Frequent Flyer,$693,20.45%,0%,—,Standard,150k Pts,Qantas/Velocity,2.24 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/imb bank.png,Up to 55 days,$4884,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/business/pds
